Sl.,ONOS Flow Rule 1,ONOS Flow Rule 2,Conflicting,Type of Conflict
48," {'priority': 499, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.3/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}"," {'flows': [{'priority': 150, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '3'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.2/32'}]}}]}",No,
49,"{'priority': 499, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}","{'flows': [{'priority': 150, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '3'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.2/32'}]}}]}",No,
50,"{'priority': 2, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000002', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'IN_PORT', 'port': 1}]}}"," {'flows': [{'priority': 5, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000002', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '3'}]}, 'selector': {'criteria': [{'type': 'IN_PORT', 'port': 1}]}}]}",Yes,Correlation
51,"{'priority': 2, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000002', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'IN_PORT', 'port': 2}]}}","{'flows': [{'priority': 5, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000002', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '3'}]}, 'selector': {'criteria': [{'type': 'IN_PORT', 'port': 1}]}}]}",No,
52,"{'priority': 2, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000002', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'IN_PORT', 'port': 1}]}}"," {'flows': [{'priority': 105, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000002', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.1/32'}, {'type': 'IN_PORT', 'port': '2'}]}}]}",No,
53,"{'priority': 2, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000002', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'IN_PORT', 'port': 2}]}}"," {'flows': [{'priority': 105, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000002', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.1/32'}, {'type': 'IN_PORT', 'port': '2'}]}}]}",yes,Imbrication
54,"{'priority': 102, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '3'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x0800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.3/32'}]}}"," {'flows': [{'priority': 300, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.1/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",No,
55," {'priority': 102, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x0800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}","{'flows': [{'priority': 300, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.1/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",yes,Redundancy
56," {'priority': 102, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x0800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.1/32'}]}}","{'flows': [{'priority': 300, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.1/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",No,
57,"{'priority': 102, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x0800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.2/32'}]}}"," {'flows': [{'priority': 300, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.1/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",No,
58," {'priority': 1000, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.1/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}"," {'flows': [{'priority': 300, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.1/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",Yes,Correlation
59,"{'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'IPV4_DST', 'ip': '10.0.0.1/32'}, {'type': 'TCP_DST', 'tcpPort': 80}]}}","{'flows': [{'priority': 300, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.1/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",No,
60,"{'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'IPV4_DST', 'ip': '10.0.0.2/32'}, {'type': 'TCP_DST', 'tcpPort': 80}]}}","{'flows': [{'priority': 300, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.1/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",No,
61,"{'priority': 499, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.1/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}","{'flows': [{'priority': 300, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.1/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",No,
62,"{'priority': 499, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.2/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}","{'flows': [{'priority': 300, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.1/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",No,
63,"{'flows': [{'priority': 200, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.0/24'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}","{'flows': [{'priority': 100, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.2/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",yes,Redundancy
64,"{'flows': [{'priority': 300, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_DST', 'ip': '10.1.0.0/24'}]}}]}","{'flows': [{'priority': 250, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_DST', 'ip': '10.1.0.5/32'}]}}]}",yes,Redundancy
65,"{'flows': [{'priority': 250, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '5'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '192.168.1.0/24'}, {'type': 'IPV4_DST', 'ip': '10.0.0.5/32'}]}}]}","{'flows': [{'priority': 100, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '5'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '192.168.1.50/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.5/32'}]}}]}",yes,Redundancy
66,"{'flows': [{'priority': 300, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000002', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '6'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IN_PORT', 'port': 1}]}]}","{'flows': [{'priority': 150, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000002', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '6'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IN_PORT', 'port': 1}, {'type': 'IP_PROTO', 'protocol': 6}]}}]}",yes,Redundancy
67,"{""flows"":[{""priority"":200,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000004"",""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_SRC"",""ip"":""10.0.0.0/24""},{""type"":""IPV4_DST"",""ip"":""10.0.0.5/32""}]}}]}","{'flows': [{'priority': 300, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.10/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.5/32'}]}}]}",yes,Generalization
68,"{""flows"":[{""priority"":250,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000003"",""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_DST"",""ip"":""10.1.0.0/24""}]}}]}","{'flows': [{'priority': 300, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '3'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_DST', 'ip': '10.1.0.8/32'}]}}]}",yes,Generalization
69,"{""flows"":[{""priority"":220,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000002"",""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IN_PORT"",""port"":1}]}}]}","{'flows': [{'priority': 300, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000002', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '5'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IN_PORT', 'port': 1}, {'type': 'IP_PROTO', 'protocol': 6}]}}]}",yes,Generalization
70,"{""flows"":[{""priority"":180,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_DST"",""ip"":""10.2.0.0/24""}]}}]}","{'flows': [{'priority': 250, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '6'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_DST', 'ip': '10.2.0.12/32'}]}}]}",yes,Generalization
71,"{""flows"":[{""priority"":220,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000002"",""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IN_PORT"",""port"":3}]}}]}","{'flows': [{'priority': 270, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000002', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '6'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IN_PORT', 'port': 3}, {'type': 'UDP_DST', 'udpPort': 53}]}}]}",yes,Generalization
72,"{'flows': [{'priority': 320, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000002', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_DST', 'ip': '192.168.1.0/24'}]}}]}","{'flows': [{'priority': 100, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000002', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '5'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_DST', 'ip': '192.168.1.10/32'}]}}]}",yes,Shadowing
73,"{'flows': [{'priority': 400, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IN_PORT', 'port': 3}]}]}","{'flows': [{'priority': 250, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IN_PORT', 'port': 3}, {'type': 'TCP_DST', 'tcpPort': 443}]}}]}",yes,Imbrication
74,"{'flows': [{'priority': 350, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '5'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IN_PORT', 'port': 1}]}]}","{'flows': [{'priority': 200, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000003', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '6'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IN_PORT', 'port': 1}, {'type': 'IP_PROTO', 'protocol': 6}]}}]}",yes,Imbrication